Date,Biochemical Oxygen Demand,Conductivity,Temperature,Turbidity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Total Coliform,WQI
01-01-2020,0.546166552,129.2749621,18.9523413,2.731339097,9.733331237,2.090266994,2.115317313,0.16658307,7.571431483,0,2.140367633,26.85757378
02-01-2020,0.507678419,123.8276554,18.74499979,2.594234591,9.651300563,2.075882622,2.094161957,0.150598135,7.551150302,0,2.112441291,24.36388505
03-01-2020,0.540262159,128.3306324,18.96400089,2.741354305,9.711432617,2.089923204,2.115642447,0.163044165,7.559316219,0,2.141361691,24.7118026
04-01-2020,0.577342621,133.4633893,19.20988678,2.906392663,9.780578587,2.105758379,2.139813123,0.177291272,7.569300616,0,2.173867867,25.92382291
05-01-2020,0.482826134,120.1728296,18.66608849,2.544970029,9.586552621,2.068950383,2.085017212,0.138902161,7.526667461,0,2.101084041,24.57021709
06-01-2020,0.476200882,119.1873161,18.64952824,2.535034203,9.568332562,2.067294193,2.082947057,0.135672279,7.519213457,0,2.09859992,25.53972987
07-01-2020,0.560275513,130.900077,19.17705103,2.887814872,9.73153718,2.101912974,2.135287282,0.168725257,7.548063488,0,2.16866159,25.08957832
08-01-2020,0.51312892,124.2421742,18.91712338,2.715622721,9.632325728,2.08403799,2.108884662,0.149292822,7.524450526,17,2.133731333,23.43289032
09-01-2020,0.444762888,114.6138746,18.5297492,2.458460033,9.490703231,2.057669664,2.069739708,0.121375858,7.492376695,39.9,2.081809752,24.39338752
10-01-2020,0.488883077,120.7339877,18.8171557,2.651144621,9.57408246,2.07628997,2.098075262,0.1384568,7.50532566,0,2.119860555,22.43286067
11-01-2020,0.432143623,112.7341092,18.49926096,2.440288223,9.455773127,2.054560273,2.065883253,0.115197469,7.477960467,0,2.077206233,23.85167176
12-01-2020,0.425630326,111.7662678,18.48257311,2.43022927,9.437948263,2.052914608,2.063814612,0.112032352,7.470716821,0,2.074714615,23.57156469
13-01-2020,0.454662003,115.7751144,18.6789984,2.562238288,9.491246923,2.065480218,2.083060084,0.123089141,7.477723621,0.703668306,2.100639949,23.47904037
14-01-2020,0.340593604,99.75035874,18.01665997,2.121730376,9.258380421,2.020798799,2.016432098,0.076909983,7.427524214,21.1,2.012065396,23.2421995
15-01-2020,0.343753972,100.1380549,18.05752431,2.15001623,9.260007843,2.023001609,2.020127423,0.077626577,7.42425149,31.93039299,2.017253236,20.60141436
16-01-2020,0.39567811,107.3531196,18.39079496,2.373231224,9.359200584,2.044702371,2.053066526,0.097853086,7.440520796,31.66372403,2.061430681,22.51025775
17-01-2020,0.366995767,103.2837339,18.24024397,2.27388976,9.297219525,2.034152708,2.03762673,0.085841572,7.424585366,21.1,2.041100751,23.31045761
18-01-2020,0.427248564,111.6657406,18.62311469,2.530153762,9.413149275,2.059168996,2.075532482,0.109408843,7.444263168,6.1,2.091895967,23.70137075
19-01-2020,0.360089713,102.2106054,18.24132007,2.276631561,9.274297615,2.033212248,2.036975189,0.082016341,7.4130168,3,2.040738131,21.51144453
20-01-2020,0.32888809,97.78998619,18.07506708,2.166794172,9.207403635,2.021629745,2.019975662,0.069011772,7.39619511,0,2.01832158,24.77200684
21-01-2020,0.466857482,117.0538291,18.92363224,2.733492319,9.478896247,2.077706736,2.104461664,0.123680809,7.447084899,0,2.131216592,22.39997474
22-01-2020,0.376419166,104.341128,18.40153706,2.386406711,9.293619317,2.042411469,2.051885455,0.086992115,7.406655952,0,2.061359441,24.45709195
23-01-2020,0.385280235,105.5308913,18.47501802,2.436361378,9.306988338,2.04682652,2.058870791,0.090028679,7.405992367,0,2.070915062,23.70580723
24-01-2020,0.304926886,94.23120158,18.01298628,2.129296805,9.141976993,2.01554611,2.012308897,0.05738513,7.369689868,0,2.009071683,21.66664523
25-01-2020,0.343271957,99.54987099,18.26291291,2.296860094,9.214412233,2.031735119,2.036946985,0.072226753,7.380914825,0.481327363,2.042158851,25.35700775
26-01-2020,0.370432029,103.3032356,18.44549152,2.419513367,9.264528481,2.043439927,2.054854521,0.082600328,7.387715088,2.216921656,2.066269116,21.19307543
27-01-2020,0.301800696,93.6464132,18.05307786,2.158826847,9.123114173,2.016817722,2.015267185,0.054663436,7.3562493,3.557622496,2.013716647,23.80339677
28-01-2020,0.372671061,103.5204524,18.49742481,2.455968844,9.260756742,2.0459855,2.059360366,0.082533463,7.38063589,4.1,2.072735231,24.37602282
29-01-2020,0.31846294,95.8841417,18.19104558,2.252614573,9.148297035,2.025110945,2.028385487,0.060378477,7.35504396,3.543616102,2.03166003,21.5689331
30-01-2020,0.328593427,97.25588831,18.27043716,2.306428422,9.16457044,2.029960654,2.035992348,0.063965456,7.355241504,2,2.042024043,24.63040708
31-01-2020,0.307852127,94.30625046,18.16433166,2.236564863,9.119157346,2.022450232,2.025054257,0.055210378,7.343145507,0,2.027658282,22.08838914
01-02-2020,0.425388364,110.7161474,18.88761959,2.719617318,9.350357568,2.070239177,2.097060363,0.10177311,7.386416825,0,2.123881548,23.6400977
02-02-2020,0.327015775,96.89950156,18.31517742,2.338836509,9.149799527,2.031652715,2.039498407,0.061979241,7.343382021,0,2.0473441,22.93971364
03-02-2020,0.269801963,88.8457905,17.98940549,2.122489078,9.031619558,2.009517659,2.006608519,0.038655942,7.316869229,0.276674309,2.003699379,21.97857507
04-02-2020,0.358893802,101.2755896,18.54117986,2.491158816,9.20611252,2.045892537,2.061478396,0.073862094,7.348938274,2.316583511,2.077064255,23.93780332
05-02-2020,0.251887052,86.25231809,17.91606999,2.075225122,8.98847103,2.003815436,1.998665076,0.030636129,7.302628516,5.068955387,1.993514717,23.19969599
06-02-2020,0.318620158,95.5533707,18.33310152,2.354038187,9.11837305,2.031221516,2.040071214,0.056913549,7.325876373,8.37696221,2.048920911,19.93115894
07-02-2020,0.205527689,79.67959949,17.67087695,1.913332769,8.888688776,1.986684396,1.973557145,0.011268305,7.277256693,12.08377625,1.960429893,23.62951533
08-02-2020,0.232523967,83.41902142,17.84887736,2.032762694,8.939247885,1.998169596,1.991071065,0.021666248,7.284736207,16.0325698,1.983972534,19.48144678
09-02-2020,0.304287617,93.42665619,18.29516976,2.331039079,9.07940865,2.027548363,2.03541976,0.049978945,7.310187349,20.06651511,2.043291158,23.88191674
10-02-2020,0.326969712,96.5636656,18.44665593,2.432762891,9.121474212,2.037280927,2.050293492,0.058666944,7.316071513,24.02878446,2.063306057,24.16861409
11-02-2020,0.294308472,91.95341159,18.26576063,2.312883743,9.052921988,2.02486238,2.031934817,0.045225644,7.299884931,27.76255013,2.039007253,20.72142512
12-02-2020,0.27574444,89.31758163,18.16912265,2.249160625,9.012634022,2.018068748,2.022007694,0.037431376,7.289404746,31.1109844,2.025946639,21.59177578
13-02-2020,0.262352837,87.40671732,18.10318895,2.205891293,8.982761689,2.013329931,2.015156896,0.031714337,7.28106195,33.91725954,2.01698386,20.49338748
14-02-2020,0.19945868,78.56633201,17.73990535,1.964372771,8.853955944,1.988775755,1.978577084,0.00620464,7.252987437,36.02454781,1.968378413,21.37995652
15-02-2020,0.23346611,83.29301572,17.95769254,2.110218639,8.919025961,2.002967696,2.000110399,0.019464047,7.263743726,37.2760215,1.997253102,21.4739565
16-02-2020,0.24259787,84.53796258,18.02588289,2.156316958,8.934418096,2.007194677,2.006690152,0.022781756,7.264620759,37.51485288,2.006185627,23.12558221
17-02-2020,0.314756488,94.60753667,18.47188761,2.454275011,9.07593826,2.036617539,2.051057535,0.051318878,7.290780369,36.58421422,2.06549753,24.38289824
18-02-2020,0.275452047,89.07315893,18.24876332,2.306130356,8.994607442,2.021440149,2.028518277,0.035279543,7.272427389,34.32727781,2.035596406,24.25583505
19-02-2020,0.166591141,78,17.60794583,1.879506692,8.8,1.978424984,1.964216029,0,7.226325239,30.5872159,1.950007075,20.69242455
20-02-2020,0.267521671,87.90206182,18.22551887,2.291793003,8.973531446,2.019311048,2.025759229,0.031498947,7.264213836,25.20720078,2.032207411,21.88408235
21-02-2020,0.228741004,82.4436979,18.00446311,2.144976222,8.893478348,2.004297134,2.003446006,0.015695975,7.246292863,18.03040472,2.002594878,19.49072358
22-02-2020,0.210930971,79.9221353,17.90886608,2.081781206,8.855444745,1.997655828,1.993685175,0.008290382,7.236835765,8.9,1.989714522,20.66450039
23-02-2020,0.272248098,88.47929622,18.2876636,2.334831683,8.975744409,2.022649597,2.031370377,0.032544864,7.259105845,0,2.040091158,23.66386738
24-02-2020,0.290207655,90.96732642,18.40594405,2.414186423,9.00940857,2.03028441,2.04301051,0.039465609,7.264109879,0,2.055736611,24.74551447
25-02-2020,0.282322154,89.83798534,18.36877941,2.389893246,8.991462919,2.027565139,2.039112825,0.0360577,7.258853519,2,2.05066051,20.55554451
26-02-2020,0.191005673,78,17.83065112,2.03160632,8.806736259,1.991457287,1.985125521,0,7.220303018,2,1.978793755,20.90433577
27-02-2020,0.214823092,80.3402154,17.98294557,2.133583092,8.852358968,2.00138668,2.000187288,0.008579062,7.227884927,0,1.998987897,21.90442085
28-02-2020,0.244273599,84.44077012,18.1686551,2.257818328,8.909330019,2.013552876,2.018597412,0.020134102,7.2377995,0,2.023641948,22.56457698
29-02-2020,0.274024718,88.58437579,18.35578219,2.382980218,8.966985032,2.025822768,2.037156186,0.03181904,7.247914297,0.158294518,2.048489603,21.19272463
01-03-2020,0.243515939,78.7326347,17.91348659,2.088508466,8.80245277,1.996140401,1.99277963,0,7.217461875,6.1,1.989418859,22.51533948
02-03-2020,0.255503493,80.38737035,17.99594073,2.143851257,8.826875912,2.001450662,2.000885033,0.004342414,7.220685974,17.38475883,2.000319404,21.31073679
03-03-2020,0.206916373,78,17.71441851,1.956524407,8.8,1.982505201,1.972599826,0,7.2,31.04347007,1.962694452,21.68486092
04-03-2020,0.200005117,78,17.6824202,1.935527985,8.8,1.980204086,1.969274074,0,7.2,43.15524177,1.958344062,22.48292597
05-03-2020,0.298160428,86.29588359,18.2802872,2.334422835,8.9133985,2.019903462,2.028941956,0.021949111,7.233510682,49.79918196,2.037980451,22.37205947
06-03-2020,0.323201866,89.78292249,18.43893423,2.440485336,8.963838754,2.030331022,2.044694978,0.032126506,7.242274198,47.05439869,2.059058934,21.92036801
07-03-2020,0.24978276,79.48668991,18.00627877,2.152327058,8.817334975,2.001347978,2.001324922,0.002909359,7.21173395,31,2.001301866,21.94051224
08-03-2020,0.301691581,86.73757697,18.32504932,2.365100249,8.921464005,2.022469603,2.033104668,0.023813012,7.231405673,6.1,2.043739733,22.34431938
09-03-2020,0.267867229,81.98703459,18.12887712,2.23455899,8.854103554,2.009271351,2.013397369,0.010412985,7.216865251,0,2.017523387,21.74100376
10-03-2020,0.215939267,78,17.82353752,2.031220118,8.8,1.98880495,1.982780588,0,7.2,8.633490825,1.976756227,21.59143089
11-03-2020,0.264814668,81.53307133,18.12247053,2.230710231,8.848505189,2.008633097,2.012598349,0.009420001,7.213867411,22.91645329,2.016563602,24.65369047
12-03-2020,0.322336585,89.57467602,18.47273338,2.464400759,8.963767377,2.031892972,2.047556398,0.032527027,7.23611057,35.1,2.063219824,23.55442452
13-03-2020,0.242473947,78.38367356,17.99813812,2.148166354,8.80423702,2.000172073,2.000035961,0.000669685,7.203482084,39.15566731,1.999899849,21.81241416
14-03-2020,0.321468895,89.43396655,18.47613625,2.466974622,8.962398338,2.031967188,2.047782204,0.032344805,7.234479012,35.93668672,2.063597219,23.81534742
15-03-2020,0.111362195,78,17.21897116,1.628987793,8.8,1.948094567,1.922019483,0,7.2,28.01671352,1.895944399,20.96011618
16-03-2020,0.282698852,83.99187195,18.24991185,2.31638516,8.885130417,2.01677216,2.025074712,0.016959261,7.218016719,17.96940296,2.033377265,24.32455873
17-03-2020,0.245352116,78.75804419,18.02819696,2.168659117,8.810537605,2.001949225,2.002871767,0.002065864,7.202725083,8.36841034,2.003794309,22.94359709
18-03-2020,0.225587369,78,17.91141808,2.090870701,8.8,1.994131881,1.991169815,0,7.2,1.787390927,1.988207749,22.15543242
