Date,Biochemical Oxygen Demand,Conductivity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Temperature,Turbidity,Rainfall,Total Coliform,WQI
01-01-2020,3.175667485,356.0400491,11.15317313,3211.002259,53.26606824,1.951000196,9.165833841,24.25352235,13.79954016,0,6482.368029,61.38454316
02-01-2020,3.139706556,353.8823934,10.94161957,3140.765204,48.56902645,1.913354465,9.12903051,23.77955339,13.83772198,0,6512.687373,60.71415109
03-01-2020,3.174808009,355.9884806,11.15642447,3212.646586,48.75349217,1.946777442,9.163292726,24.30034705,14.05702899,0,6428.706441,61.50833091
04-01-2020,3.214395948,358.3637569,11.39813123,3293.494113,50.65442146,1.98469373,9.202044839,24.88383208,13.69551096,0,5997.437833,53.38361042
05-01-2020,3.122375958,352.8425575,10.85017212,3111.118465,49.06299347,1.891009409,9.109192683,23.62467803,13.94785339,0,6434.348805,60.70829993
06-01-2020,3.118235483,352.594129,10.82947057,3104.494034,51.05710315,1.885212416,9.10422395,23.59570045,13.75927198,0,6832.333201,60.72156967
07-01-2020,3.204782436,357.7869462,11.35287282,3279.236154,48.8942443,1.970111154,9.189946795,24.83620154,13.69531894,0,6305.457532,51.35842331
08-01-2020,3.160094976,355.1056986,11.08884662,3191.500657,46.03161747,1.923784272,9.144439624,24.23926699,13.75184147,0,6219.5543,61.66397567
09-01-2020,3.09417416,351.1504496,10.69739708,3061.289169,48.79042575,1.856233312,9.077703736,23.34490309,13.59530388,0,6427.61335,60.70829993
10-01-2020,3.140724924,353.9434954,10.98075262,3156.011079,44.11269825,1.901163693,9.123444308,24.02497048,13.559371,0,6403.266408,61.55249098
11-01-2020,3.086400683,350.684041,10.65883253,3048.972738,47.70854181,1.84522931,9.068314996,23.29260859,13.27604379,0,6567.261735,60.70829993
12-01-2020,3.082286521,350.4371913,10.63814612,3042.343839,47.12323038,1.839515725,9.063401123,23.26300023,13.53942022,0,6065.145395,60.71606869
13-01-2020,3.113700544,352.3220327,10.83060084,3106.760116,46.43974666,1.869341517,9.094021031,23.73059061,13.46522339,0,6451.083343,61.41632565
14-01-2020,3.001996998,345.6198199,10.16432098,2884.929592,46.52082788,1.756061402,8.9815292,22.1943309,13.43043087,0,6411.067443,60.68498142
15-01-2020,3.007504023,345.9502414,10.20127423,2897.508081,41.10444946,1.760003989,8.986254006,22.29880692,13.58962402,0,6252.820438,60.68498142
16-01-2020,3.061755927,349.2053556,10.53066526,3007.563733,44.94863743,1.812704049,9.039729988,23.08549086,13.61081852,0,6337.348375,60.76015085
17-01-2020,3.035381771,347.6229062,10.3762673,2956.354211,46.71946777,1.784791101,9.012586436,22.7431815,13.49860219,0,6463.961476,60.70829993
18-01-2020,3.09792249,351.3753494,10.75532482,3082.96093,46.7679741,1.845806539,9.074364514,23.64544399,13.6245539,0,6421.093445,61.58586756
19-01-2020,3.033030619,347.4818372,10.36975189,2954.68851,43.05424751,1.779403349,9.008716984,22.76340591,13.51413515,0,6006.691607,60.70829993
20-01-2020,3.004074362,345.7444617,10.19975662,2898.272904,49.78470539,1.74895018,8.979012271,22.38421424,13.31381559,0,6388.100277,60.70756554
21-01-2020,3.144266841,354.1560104,11.04461664,3180.13992,43.24085155,1.887660602,9.118463721,24.37284495,13.25431956,0,6200.015486,45.70261101
22-01-2020,3.056028673,348.8617204,10.51885455,3005.130351,48.60107112,1.797955668,9.029492171,23.16317901,13.38378686,0,6216.527283,61.34193142
23-01-2020,3.067066301,349.523978,10.58870791,3028.656645,46.8291787,1.807542257,9.039804279,23.34309898,13.41058265,0,6205.709069,61.56600324
24-01-2020,2.988865275,344.8319165,10.12308897,2873.689476,43.46542545,1.727906349,8.960885812,22.27339506,13.55028765,0,6150.259455,60.70829993
25-01-2020,3.029337797,347.2602678,10.36946985,2956.05282,50.58821,1.76696057,9.000649183,22.86483062,13.48413314,0,6408.012298,61.22472311
26-01-2020,3.058599816,349.015989,10.54854521,3015.978158,41.54123698,1.794821291,9.029210554,23.29902162,13.11308121,0,6142.417469,61.69037495
27-01-2020,2.992044305,345.0226583,10.15267185,2884.251017,47.74122189,1.726881899,8.961963102,22.39146239,13.17675663,0,5924.872727,60.78762096
28-01-2020,3.064963751,349.3978251,10.59360366,3031.455962,47.84890095,1.798435291,9.034199521,23.43624056,13.30745551,0,6059.830579,58.79729177
29-01-2020,3.012777362,346.2666417,10.28385487,2928.431005,42.70051123,1.74490108,8.981339221,22.72921799,13.36326463,0,6164.166832,61.32300876
30-01-2020,3.024901634,346.9940981,10.35992348,2954.00874,48.75684877,1.755696163,8.992798899,22.92221863,13.31419815,0,6364.301922,61.56289894
31-01-2020,3.00612558,345.8675348,10.25054257,2917.766796,43.69829688,1.735609944,8.973367762,22.68228175,13.09070081,0,6229.251669,61.39459205
01-02-2020,3.125597943,353.0358766,10.97060363,3158.002273,45.18544225,1.853791557,9.09219475,24.37748297,12.83008371,0,5928.845046,39.92337198
02-02-2020,3.029131786,347.2479072,10.39498407,2966.340914,44.97323142,1.756054445,8.995093116,23.04919848,12.85885926,0,6586.457926,61.15281403
03-02-2020,2.973794147,343.9276488,10.06608519,2856.916416,43.66426151,1.699466024,8.939130085,22.2963602,13.09128456,0,6132.994142,61.30871426
04-02-2020,3.064731343,349.3838806,10.61478396,3040.021047,46.37658872,1.789172982,9.029452163,23.59101012,13.0836738,0,6325.89044,45.25731429
05-02-2020,2.959538589,343.0723153,9.986650763,2830.84487,46.20369702,1.682770898,8.923654743,22.13947485,12.77432953,0,6031.399428,61.2892023
06-02-2020,3.028053791,347.1832275,10.40071214,2969.063338,38.45882854,1.750098036,8.991575914,23.1194788,12.9821882,0.4,6159.503683,53.69377558
07-02-2020,2.916710991,340.5026595,9.735571449,2747.544183,47.50080062,1.63758879,8.879649891,21.58109239,13.07910635,0.4,6211.977193,60.79746004
08-02-2020,2.945423991,342.2254394,9.910710651,2806.114664,38.48585576,1.665157308,8.907790649,22.00310282,12.70258772,0.2,6279.138822,61.35627444
09-02-2020,3.018870909,346.6322545,10.3541976,2954.130678,46.45875249,1.737482047,8.980676478,23.05099779,13.13419437,0.2,6238.557201,50.94413835
10-02-2020,3.043202319,348.0921391,10.50293492,3003.893041,46.631275,1.760713915,9.004458117,23.41087953,12.8184467,0,6193.276369,40.81640323
11-02-2020,3.01215595,346.229357,10.31934817,2942.876886,39.87060216,1.728590965,8.972873458,22.99507055,13.12663538,0,5947.745262,49.33174095
12-02-2020,2.99517187,345.2103122,10.22007694,2909.962026,41.8057285,1.710553584,8.955362727,22.77572619,12.7499895,0.5,5888.513644,53.11981762
13-02-2020,2.983324829,344.4994897,10.15156896,2887.297652,39.61808653,1.697676834,8.943000831,22.62788751,12.633335,0.5,6061.661542,55.18508335
14-02-2020,2.921939388,340.8163633,9.785770839,2765.53258,42.18985639,1.635285582,8.881112485,21.78609302,12.72943101,9.9,6174.222076,61.55168637
